Strata,Match_Type,N_Tratado,N_Controle,DiD_Ext_Estimate,DiD_Ext_SE,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_SE,DiD_Int_PValue
Full Panel (Global) (Sample size = 51474),CEM,317,49181,0.1029,0.0129,0,0.1823,0.0898,0.0422
Full Panel (Global) (Sample size = 51474),Logit (1:1),317,317,0.1026,0.0336,0.0022,0.3225,0.1502,0.0319
Full Panel (Global) (Sample size = 51474),Logit (1:3),317,951,0.0663,0.0289,0.0219,0.1679,0.1273,0.187
Full Panel (Global) (Sample size = 51474),Mahalanobis (1:1),317,317,0.136,0.0382,4e-4,0.3128,0.1436,0.0294
Full Panel (Global) (Sample size = 51474),Mahalanobis (1:3),317,951,0.1358,0.0379,3e-4,0.2225,0.1301,0.0872
S1_All (Sample size = 23073),CEM,180,20573,0.1045,0.0338,0.002,0.1773,0.1157,0.1255
S1_All (Sample size = 23073),Logit (1:1),181,181,0.124,0.0543,0.0224,0.4384,0.1927,0.023
S1_All (Sample size = 23073),Logit (1:3),181,543,0.0604,0.0411,0.1422,0.1737,0.1475,0.2392
S1_All (Sample size = 23073),Mahalanobis (1:1),181,181,0.1456,0.0649,0.0251,0.3482,0.2091,0.096
S1_All (Sample size = 23073),Mahalanobis (1:3),181,543,0.1483,0.0625,0.0177,0.293,0.1855,0.1143
S1_Female (Sample size = 13766),CEM,110,11877,0.0954,0.042,0.023,0.1734,0.1098,0.1142
S1_Female (Sample size = 13766),Logit (1:1),111,111,0.1067,0.0779,0.1709,0.3926,0.2295,0.0874
S1_Female (Sample size = 13766),Logit (1:3),111,333,0.0601,0.0609,0.324,0.2323,0.1583,0.1424
S1_Female (Sample size = 13766),Mahalanobis (1:1),111,111,0.1564,0.0688,0.0233,0.3719,0.2229,0.0955
S1_Female (Sample size = 13766),Mahalanobis (1:3),111,333,0.1428,0.0789,0.0705,0.2981,0.2065,0.1489
S1_Male (Sample size = 9296),CEM,70,8295,0.1059,0.0268,1e-4,0.1634,0.1545,0.2902
S1_Male (Sample size = 9296),Logit (1:1),70,70,0.1508,0.0918,0.101,0.4767,0.2847,0.0945
S1_Male (Sample size = 9296),Logit (1:3),70,210,0.0946,0.0528,0.0735,0.2207,0.1759,0.2098
S1_Male (Sample size = 9296),Mahalanobis (1:1),70,70,0.1631,0.081,0.0444,0.4749,0.2749,0.0844
S1_Male (Sample size = 9296),Mahalanobis (1:3),70,210,0.1754,0.0498,4e-4,0.3207,0.1876,0.0876
S2_All (Sample size = 17497),CEM,113,9766,0.1278,0.0185,0,0.3046,0.0859,4e-4
S2_All (Sample size = 17497),Logit (1:1),113,113,0.0859,0.0538,0.111,0.2296,0.1652,0.1649
S2_All (Sample size = 17497),Logit (1:3),113,339,0.1094,0.0421,0.0094,0.3132,0.1367,0.0221
S2_All (Sample size = 17497),Mahalanobis (1:1),113,113,0.1144,0.0611,0.0615,0.2796,0.2071,0.1774
S2_All (Sample size = 17497),Mahalanobis (1:3),113,339,0.1239,0.0373,9e-4,0.1983,0.1144,0.0833
S2_Female (Sample size = 9481),CEM,52,4063,0.0641,0.0235,0.0063,0.2327,0.1114,0.0366
S2_Female (Sample size = 9481),Logit (1:1),52,52,0.0768,0.0728,0.2922,0.3363,0.2542,0.1865
S2_Female (Sample size = 9481),Logit (1:3),52,156,0.0716,0.0543,0.1877,0.2343,0.1981,0.2372
S2_Female (Sample size = 9481),Mahalanobis (1:1),52,52,0.0857,0.1126,0.447,0.1264,0.3058,0.6796
S2_Female (Sample size = 9481),Mahalanobis (1:3),52,156,0.0373,0.0545,0.4939,-0.0798,0.1539,0.6045
S2_Male (Sample size = 8007),CEM,61,3202,0.1827,0.0385,0,0.4307,0.1722,0.0124
S2_Male (Sample size = 8007),Logit (1:1),61,61,0.2181,0.0849,0.0105,0.4548,0.2698,0.0925
S2_Male (Sample size = 8007),Logit (1:3),61,183,0.2008,0.0689,0.0037,0.5835,0.2334,0.0126
S2_Male (Sample size = 8007),Mahalanobis (1:1),61,61,0.1244,0.082,0.1297,0.4172,0.3157,0.187
S2_Male (Sample size = 8007),Mahalanobis (1:3),61,183,0.2083,0.0616,8e-4,0.5187,0.2085,0.013
S3_All (Sample size = 10904),CEM,23,10012,0.1165,0.0208,0,0.0908,0.2425,0.7081
S3_All (Sample size = 10904),Logit (1:1),23,23,-0.0071,0.0944,0.9399,-0.5545,0.3807,0.146
S3_All (Sample size = 10904),Logit (1:3),23,69,0.1464,0.0823,0.0755,0.0356,0.3126,0.9093
S3_All (Sample size = 10904),Mahalanobis (1:1),23,23,0.3656,0.1557,0.0193,0.4043,0.4636,0.3836
S3_All (Sample size = 10904),Mahalanobis (1:3),23,69,0.209,0.0904,0.021,-0.0386,0.3533,0.913
S3_Female (Sample size = 4748),CEM,6,3614,-0.0751,0.0769,0.3283,-0.2137,0.5517,0.6984
S3_Female (Sample size = 4748),Logit (1:1),6,6,-0.2578,0.1553,0.0992,-0.4567,1.2805,0.7219
S3_Female (Sample size = 4748),Logit (1:3),6,18,-0.2743,0.1233,0.0268,-0.7271,0.719,0.3127
S3_Female (Sample size = 4748),Mahalanobis (1:1),6,6,0.1305,0.2691,0.6285,0.6834,0.8782,0.4378
S3_Female (Sample size = 4748),Mahalanobis (1:3),6,18,-0.0153,0.1859,0.9345,-0.3376,0.8891,0.7045
S3_Male (Sample size = 6151),CEM,17,4899,0.1751,0.0393,0,0.1549,0.1745,0.3748
S3_Male (Sample size = 6151),Logit (1:1),17,17,0.082,0.0984,0.4055,-0.2228,0.4313,0.6058
S3_Male (Sample size = 6151),Logit (1:3),17,51,0.155,0.0963,0.1079,0.0924,0.3245,0.7759
S3_Male (Sample size = 6151),Mahalanobis (1:1),17,17,0.4268,0.2004,0.0341,0.5927,0.5175,0.253
S3_Male (Sample size = 6151),Mahalanobis (1:3),17,51,0.2612,0.1069,0.0149,0.1801,0.322,0.5762
