Strata,Match_Type,Year,N_Pre_Controle,N_Pre_Tratado,N_Post_Controle,N_Post_Tratado,DiD_Ext_Estimate,DiD_Ext_SE,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_SE,DiD_Int_PValue
Full Panel (Global),Mahalanobis,1997,98068,290,290,290,0.136,0.0382,4e-4,0.3128,0.1436,0.0294
Full Panel (Global),Mahalanobis,2007,66235,605,605,605,0.136,0.0382,4e-4,0.3128,0.1436,0.0294
Full Panel (Global),Mahalanobis,2017,54207,417,417,417,0.136,0.0382,4e-4,0.3128,0.1436,0.0294
Full Panel (Global),Mahalanobis,2023,51157,317,317,317,0.136,0.0382,4e-4,0.3128,0.1436,0.0294
Full Panel (Global),Logit,1997,98068,290,290,290,0.1026,0.0336,0.0022,0.3225,0.1502,0.0319
Full Panel (Global),Logit,2007,66235,605,605,605,0.1026,0.0336,0.0022,0.3225,0.1502,0.0319
Full Panel (Global),Logit,2017,54207,417,417,417,0.1026,0.0336,0.0022,0.3225,0.1502,0.0319
Full Panel (Global),Logit,2023,51157,317,317,317,0.1026,0.0336,0.0022,0.3225,0.1502,0.0319
S1_All,Mahalanobis,1997,60650,191,191,191,0.1456,0.0649,0.0251,0.3482,0.2091,0.096
S1_All,Mahalanobis,2007,32525,337,337,337,0.1456,0.0649,0.0251,0.3482,0.2091,0.096
S1_All,Mahalanobis,2017,29616,252,252,252,0.1456,0.0649,0.0251,0.3482,0.2091,0.096
S1_All,Mahalanobis,2023,22892,181,181,181,0.1456,0.0649,0.0251,0.3482,0.2091,0.096
S1_All,Logit,1997,60650,191,191,191,0.124,0.0543,0.0224,0.4384,0.1927,0.023
S1_All,Logit,2007,32525,337,337,337,0.124,0.0543,0.0224,0.4384,0.1927,0.023
S1_All,Logit,2017,29616,252,252,252,0.124,0.0543,0.0224,0.4384,0.1927,0.023
S1_All,Logit,2023,22892,181,181,181,0.124,0.0543,0.0224,0.4384,0.1927,0.023
S2_All,Mahalanobis,1997,7341,26,26,26,0.1144,0.0611,0.0615,0.2796,0.2071,0.1774
S2_All,Mahalanobis,2007,16820,162,162,162,0.1144,0.0611,0.0615,0.2796,0.2071,0.1774
S2_All,Mahalanobis,2017,15547,140,140,140,0.1144,0.0611,0.0615,0.2796,0.2071,0.1774
S2_All,Mahalanobis,2023,17384,113,113,113,0.1144,0.0611,0.0615,0.2796,0.2071,0.1774
S2_All,Logit,1997,7341,26,26,26,0.0859,0.0538,0.111,0.2296,0.1652,0.1649
S2_All,Logit,2007,16820,162,162,162,0.0859,0.0538,0.111,0.2296,0.1652,0.1649
S2_All,Logit,2017,15547,140,140,140,0.0859,0.0538,0.111,0.2296,0.1652,0.1649
S2_All,Logit,2023,17384,113,113,113,0.0859,0.0538,0.111,0.2296,0.1652,0.1649
S3_All,Mahalanobis,1997,30077,73,73,73,0.3656,0.1557,0.0193,0.4043,0.4636,0.3836
S3_All,Mahalanobis,2007,16890,106,106,106,0.3656,0.1557,0.0193,0.4043,0.4636,0.3836
S3_All,Mahalanobis,2017,9044,25,25,25,0.3656,0.1557,0.0193,0.4043,0.4636,0.3836
S3_All,Mahalanobis,2023,10881,23,23,23,0.3656,0.1557,0.0193,0.4043,0.4636,0.3836
S3_All,Logit,1997,30077,73,73,73,-0.0071,0.0944,0.9399,-0.5545,0.3807,0.146
S3_All,Logit,2007,16890,106,106,106,-0.0071,0.0944,0.9399,-0.5545,0.3807,0.146
S3_All,Logit,2017,9044,25,25,25,-0.0071,0.0944,0.9399,-0.5545,0.3807,0.146
S3_All,Logit,2023,10881,23,23,23,-0.0071,0.0944,0.9399,-0.5545,0.3807,0.146
S1_Male,Mahalanobis,1997,25811,89,89,89,0.1631,0.081,0.0444,0.4749,0.2749,0.0844
S1_Male,Mahalanobis,2007,12658,127,127,127,0.1631,0.081,0.0444,0.4749,0.2749,0.0844
S1_Male,Mahalanobis,2017,12031,111,111,111,0.1631,0.081,0.0444,0.4749,0.2749,0.0844
