Strata,Year,N_Pre_Controle,N_Pre_Tratado,N_Post_Controle,N_Post_Tratado,DiD_Ext_Estimate,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_PValue
Full Panel (Global),1997,98068,290,870,290,0.1357,4e-4,0.2169,0.0916
Full Panel (Global),2007,66235,605,1815,605,0.1357,4e-4,0.2169,0.0916
Full Panel (Global),2017,54207,417,1251,417,0.1357,4e-4,0.2169,0.0916
Full Panel (Global),2023,51157,317,951,317,0.1357,4e-4,0.2169,0.0916
S1: 0 a 0.77 SM,1997,60650,191,573,191,0.1514,0.0168,0.2996,0.1086
S1: 0 a 0.77 SM,2007,32525,337,1011,337,0.1514,0.0168,0.2996,0.1086
S1: 0 a 0.77 SM,2017,29616,252,756,252,0.1514,0.0168,0.2996,0.1086
S1: 0 a 0.77 SM,2023,22892,181,543,181,0.1514,0.0168,0.2996,0.1086
S2: 0.77 a 2.01 SM,1997,7341,26,78,26,0.1231,8e-4,0.1741,0.1355
S2: 0.77 a 2.01 SM,2007,16820,162,486,162,0.1231,8e-4,0.1741,0.1355
S2: 0.77 a 2.01 SM,2017,15547,140,420,140,0.1231,8e-4,0.1741,0.1355
S2: 0.77 a 2.01 SM,2023,17384,113,339,113,0.1231,8e-4,0.1741,0.1355
S3: > 2.01 SM,1997,30077,73,219,73,0.207,0.0236,0.0078,0.9823
S3: > 2.01 SM,2007,16890,106,318,106,0.207,0.0236,0.0078,0.9823
S3: > 2.01 SM,2017,9044,25,75,25,0.207,0.0236,0.0078,0.9823
S3: > 2.01 SM,2023,10881,23,69,23,0.207,0.0236,0.0078,0.9823
